[2023-02-11 16:06:46,942][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp9hvecin0
[2023-02-11 16:06:46,943][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp9hvecin0/_remote_module_non_sriptable.py
[2023-02-11 16:06:47,171][__main__][INFO] - Searching /home/goroyeh/GKT/segmentation/logs.
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
[2023-02-11 16:06:58,485][cross_view_transformer.tabular_logger][WARNING] - Missing logger folder: /home/goroyeh/GKT/segmentation/logs/lightning_logs
[2023-02-11 16:19:19,768][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.012083, train/loss/visible_step:0.012002, train/loss/center_step:0.000804, epoch:2, step:3749
[2023-02-11 16:19:28,631][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011523, train/loss/visible_step:0.011465, train/loss/center_step:0.000576, epoch:2, step:3799
[2023-02-11 16:19:37,502][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015634, train/loss/visible_step:0.015563, train/loss/center_step:0.000708, epoch:2, step:3849
[2023-02-11 16:19:46,426][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.005336, train/loss/visible_step:0.005300, train/loss/center_step:0.000360, epoch:2, step:3899
[2023-02-11 16:19:55,361][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.007445, train/loss/visible_step:0.007398, train/loss/center_step:0.000473, epoch:2, step:3949
[2023-02-11 16:20:04,342][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011366, train/loss/visible_step:0.011285, train/loss/center_step:0.000804, epoch:2, step:3999
[2023-02-11 16:20:13,275][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.014815, train/loss/visible_step:0.014706, train/loss/center_step:0.001089, epoch:2, step:4049
[2023-02-11 16:20:22,163][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.010821, train/loss/visible_step:0.010749, train/loss/center_step:0.000716, epoch:2, step:4099
[2023-02-11 16:20:31,053][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009241, train/loss/visible_step:0.009181, train/loss/center_step:0.000604, epoch:2, step:4149
[2023-02-11 16:20:39,980][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.008669, train/loss/visible_step:0.008612, train/loss/center_step:0.000561, epoch:2, step:4199
[2023-02-11 16:20:48,905][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009483, train/loss/visible_step:0.009420, train/loss/center_step:0.000633, epoch:2, step:4249
